2025-09-04 13:53:36 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 806a28f5-8fcb-4e2f-b210-8b2bbc72ccfe, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:53:36 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 0da6ec0a-4b7e-4d83-9f2d-fc883fea3f2b, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 7 ms
2025-09-04 13:53:37 INFO  [http-nio-8080-exec-5] ACCESS_LOG [,] - ACCESS_LOG - RequestId: ef81a456-7425-45a2-8dd2-b654697afd4a, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 9 ms
2025-09-04 13:54:26 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 91bd1d9d-cbae-455a-b423-af3d26afe351, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:54:26 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 91bd1d9d-cbae-455a-b423-af3d26afe351, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:54:26 INFO  [http-nio-8080-exec-4] ACCESS_LOG [,] - ACCESS_LOG - RequestId: d09a71c4-3071-463c-9bf2-5331696b7d5c, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 6 ms
2025-09-04 13:54:28 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 81f7af28-aa63-45fd-bb0e-83b7fb4a2187, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:54:28 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 81f7af28-aa63-45fd-bb0e-83b7fb4a2187, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:54:28 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: a5722b5f-abeb-4618-bb7a-7dadf0c495ab, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 16 ms
2025-09-04 13:54:46 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 90d03bff-1ac6-41ac-8324-00af4dfd8072, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:54:46 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 90d03bff-1ac6-41ac-8324-00af4dfd8072, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:54:46 INFO  [http-nio-8080-exec-7] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 751479ae-1060-43fa-9a44-52b259362f2a, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 9 ms
2025-09-04 13:54:52 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 16b06684-192d-4c07-9682-f763649476d6, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:54:52 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 16b06684-192d-4c07-9682-f763649476d6, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:54:52 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: d189df2d-5c9b-4704-acaa-f838d659223a, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 4 ms
2025-09-04 13:55:00 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 54114a9c-92ee-4a5b-858e-309bcd7f8eeb, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:55:00 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 54114a9c-92ee-4a5b-858e-309bcd7f8eeb, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:55:00 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - ACCESS_LOG - RequestId: f195a585-559f-41fa-97a7-bcebd4995547, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 4 ms
2025-09-04 13:55:39 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 96902fa9-bec2-457b-a003-45d026ca98ff, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:55:39 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 96902fa9-bec2-457b-a003-45d026ca98ff, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:55:39 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 7e755b06-5ff4-4b4f-af8a-1f595df72618, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 5 ms
2025-09-04 13:55:40 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 3d12bba5-75d9-4ede-b565-a26137cf914b, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 4 ms
2025-09-04 13:55:45 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: d59e5838-39c2-4a7e-886f-217b81e53f26, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
